Trade #,Type,Date et heure,Signal,Prix USDT,Taille de la position (qté),Taille de la position (valeur),P&L Net USDT,P&L Net %,Excursion favorable USDT,Excursion favorable %,Excursion adverse USDT,Excursion adverse %,P&L cumulé USDT,P&L cumulé %
177,Entrer short,2026-02-04 17:00,Short,#NUM!,73154296.17,-75568.38794,151.14,-0.20,0,0.00,0,0.00,37303.47,373.03
178,Sortir du short,2026-02-05 17:00,Exit Short,#NUM!,137185070,-96303.91914,192.61,-0.20,0,0.00,0,0.00,37496.08,374.96
178,Entrer short,2026-02-05 17:00,Short,#NUM!,137185070,-96303.91914,192.61,-0.20,0,0.00,0,0.00,37496.08,374.96
179,Sortir du short,2026-02-05 19:00,Exit Short,#NUM!,103148073.7,-48170.15041,96.34,-0.20,0,0.00,0,0.00,37592.42,375.92
179,Entrer short,2026-02-05 19:00,Short,#NUM!,103148073.7,-48170.15041,96.34,-0.20,0,0.00,0,0.00,37592.42,375.92
180,Sortir du short,2026-02-05 23:00,Exit Short,#NUM!,88933687.23,-60030.23888,120.06,-0.20,0,0.00,0,0.00,37712.48,377.12
180,Entrer short,2026-02-05 23:00,Short,#NUM!,88933687.23,-60030.23888,120.06,-0.20,0,0.00,0,0.00,37712.48,377.12
181,Sortir du short,2026-02-06 03:00,Exit Short,#NUM!,95162309.08,-63473.26016,126.95,-0.20,0,0.00,0,0.00,37839.43,378.39
181,Entrer short,2026-02-06 03:00,Short,#NUM!,95162309.08,-63473.26016,126.95,-0.20,0,0.00,0,0.00,37839.43,378.39
182,Sortir du short,2026-02-06 05:00,Exit Short,#NUM!,108099480.4,-59346.61474,118.69,-0.20,0,0.00,0,0.00,37958.12,379.58
182,Entrer short,2026-02-06 05:00,Short,#NUM!,108099480.4,-59346.61474,118.69,-0.20,0,0.00,0,0.00,37958.12,379.58
183,Sortir du short,2026-02-06 07:00,Exit Short,#NUM!,71929265.2,-67469.65076,134.94,-0.20,0,0.00,0,0.00,38093.06,380.93
183,Entrer short,2026-02-06 07:00,Short,#NUM!,71929265.2,-67469.65076,134.94,-0.20,0,0.00,0,0.00,38093.06,380.93
184,Sortir du short,2026-02-06 09:00,Exit Short,#NUM!,66896722.95,-67632.5869,135.27,-0.20,0,0.00,0,0.00,38228.32,382.28
184,Entrer short,2026-02-06 09:00,Short,#NUM!,66896722.95,-67632.5869,135.27,-0.20,0,0.00,0,0.00,38228.32,382.28
185,Sortir du short,2026-02-06 11:00,Exit Short,#NUM!,75942938.86,-104193.7121,208.39,-0.20,0,0.00,0,0.00,38436.71,384.37
185,Entrer short,2026-02-06 11:00,Short,#NUM!,75942938.86,-104193.7121,208.39,-0.20,0,0.00,0,0.00,38436.71,384.37
186,Sortir du short,2026-02-06 13:00,Exit Short,#NUM!,77822477.79,-149030.045,298.06,-0.20,0,0.00,0,0.00,38734.77,387.35
186,Entrer short,2026-02-06 13:00,Short,#NUM!,77822477.79,-149030.045,298.06,-0.20,0,0.00,0,0.00,38734.77,387.35
187,Sortir du short,2026-02-06 19:00,Exit Short,#NUM!,45116432.39,-73765.36696,147.53,-0.20,0,0.00,0,0.00,38882.3,388.82
187,Entrer short,2026-02-06 19:00,Short,#NUM!,45116432.39,-73765.36696,147.53,-0.20,0,0.00,0,0.00,38882.3,388.82
188,Sortir du short,2026-02-07 21:00,Exit Short,#NUM!,102769475.5,-98658.69644,197.32,-0.20,0,0.00,0,0.00,39079.62,390.80
188,Entrer short,2026-02-07 21:00,Short,#NUM!,102769475.5,-98658.69644,197.32,-0.20,0,0.00,0,0.00,39079.62,390.80
189,Sortir du short,2026-02-07 23:00,Exit Short,#NUM!,106714541.6,-70965.17016,141.93,-0.20,0,0.00,0,0.00,39221.55,392.22
189,Entrer short,2026-02-07 23:00,Short,#NUM!,106714541.6,-70965.17016,141.93,-0.20,0,0.00,0,0.00,39221.55,392.22
190,Sortir du short,2026-02-08 03:00,Exit Short,#NUM!,100918631.5,-96881.88624,193.76,-0.20,0,0.00,0,0.00,39415.31,394.15
190,Entrer short,2026-02-08 03:00,Short,#NUM!,100918631.5,-96881.88624,193.76,-0.20,0,0.00,0,0.00,39415.31,394.15
191,Sortir du short,2026-02-08 05:00,Exit Short,#NUM!,115702340.3,-73239.58139,146.48,-0.20,0,0.00,0,0.00,39561.79,395.62
191,Entrer short,2026-02-08 05:00,Short,#NUM!,115702340.3,-73239.58139,146.48,-0.20,0,0.00,0,0.00,39561.79,395.62
192,Sortir du short,2026-02-08 07:00,Exit Short,#NUM!,108377979,-81066.72827,162.13,-0.20,0,0.00,0,0.00,39723.93,397.24
192,Entrer short,2026-02-08 07:00,Short,#NUM!,108377979,-81066.72827,162.13,-0.20,0,0.00,0,0.00,39723.93,397.24
193,Sortir du short,2026-02-08 09:00,Exit Short,#NUM!,103990139.5,-101598.3663,203.2,-0.20,0,0.00,0,0.00,39927.12,399.27
193,Entrer short,2026-02-08 09:00,Short,#NUM!,103990139.5,-101598.3663,203.2,-0.20,0,0.00,0,0.00,39927.12,399.27
194,Sortir du short,2026-02-08 19:00,Exit Short,#NUM!,90855877.6,-107209.9356,214.42,-0.20,0,0.00,0,0.00,40141.54,401.42
194,Entrer short,2026-02-08 19:00,Short,#NUM!,90855877.6,-107209.9356,214.42,-0.20,0,0.00,0,0.00,40141.54,401.42
195,Sortir du short,2026-02-09 09:00,Exit Short,#NUM!,134723901.7,-98348.44823,196.7,-0.20,0,0.00,0,0.00,40338.24,403.38
195,Entrer short,2026-02-09 09:00,Short,#NUM!,134723901.7,-98348.44823,196.7,-0.20,0,0.00,0,0.00,40338.24,403.38
196,Sortir du short,2026-02-09 11:00,Exit Short,#NUM!,130382922.3,-102089.8281,204.18,-0.20,0,0.00,0,0.00,40542.42,405.42
196,Entrer short,2026-02-09 11:00,Short,#NUM!,130382922.3,-102089.8281,204.18,-0.20,0,0.00,0,0.00,40542.42,405.42
197,Sortir du short,2026-02-09 17:00,Exit Short,#NUM!,148051081,-111038.3107,222.08,-0.20,0,0.00,0,0.00,40764.5,407.64
197,Entrer short,2026-02-09 17:00,Short,#NUM!,148051081,-111038.3107,222.08,-0.20,0,0.00,0,0.00,40764.5,407.64
198,Sortir du short,2026-02-09 21:00,Exit Short,#NUM!,152055517.8,-145973.2971,291.95,-0.20,0,0.00,0,0.00,41056.44,410.56
198,Entrer short,2026-02-09 21:00,Short,#NUM!,152055517.8,-145973.2971,291.95,-0.20,0,0.00,0,0.00,41056.44,410.56
199,Sortir du short,2026-02-09 23:00,Exit Short,#NUM!,140736648.9,-88804.82548,177.61,-0.20,0,0.00,0,0.00,41234.05,412.34
199,Entrer short,2026-02-09 23:00,Short,#NUM!,140736648.9,-88804.82548,177.61,-0.20,0,0.00,0,0.00,41234.05,412.34
200,Sortir du short,2026-02-10 01:00,Exit Short,#NUM!,182029599.8,-102846.7239,205.69,-0.20,0,0.00,0,0.00,41439.75,414.40
200,Entrer short,2026-02-10 01:00,Short,#NUM!,182029599.8,-102846.7239,205.69,-0.20,0,0.00,0,0.00,41439.75,414.40
201,Sortir du short,2026-02-10 05:00,Exit Short,#NUM!,167955544.4,-114377.7258,228.76,-0.20,0,0.00,0,0.00,41668.5,416.69
201,Entrer short,2026-02-10 05:00,Short,#NUM!,167955544.4,-114377.7258,228.76,-0.20,0,0.00,0,0.00,41668.5,416.69
202,Sortir du short,2026-02-10 15:00,Exit Short,#NUM!,168939641.8,-128056.2485,256.11,-0.20,0,0.00,0,0.00,41924.61,419.25
202,Entrer short,2026-02-10 15:00,Short,#NUM!,168939641.8,-128056.2485,256.11,-0.20,0,0.00,0,0.00,41924.61,419.25
203,Sortir du short,2026-02-10 17:00,Exit Short,#NUM!,126642307.6,-69906.55381,139.81,-0.20,0,0.00,0,0.00,42064.43,420.64
203,Entrer short,2026-02-10 17:00,Short,#NUM!,126642307.6,-69906.55381,139.81,-0.20,0,0.00,0,0.00,42064.43,420.64
204,Sortir du short,2026-02-11 01:00,Exit Short,#NUM!,189404389.7,-103983.0099,207.97,-0.20,0,0.00,0,0.00,42272.39,422.72
204,Entrer short,2026-02-11 01:00,Short,#NUM!,189404389.7,-103983.0099,207.97,-0.20,0,0.00,0,0.00,42272.39,422.72
205,Sortir du short,2026-02-11 03:00,Exit Short,#NUM!,181741157.3,-91415.80214,182.83,-0.20,0,0.00,0,0.00,42455.22,424.55
205,Entrer short,2026-02-11 03:00,Short,#NUM!,181741157.3,-91415.80214,182.83,-0.20,0,0.00,0,0.00,42455.22,424.55
206,Sortir du short,2026-02-11 05:00,Exit Short,#NUM!,168639200.4,-115517.8523,231.04,-0.20,0,0.00,0,0.00,42686.26,426.86
206,Entrer short,2026-02-11 05:00,Short,#NUM!,168639200.4,-115517.8523,231.04,-0.20,0,0.00,0,0.00,42686.26,426.86
207,Sortir du short,2026-02-11 07:00,Exit Short,#NUM!,168439716.7,-74450.35478,148.9,-0.20,0,0.00,0,0.00,42835.16,428.35
207,Entrer short,2026-02-11 07:00,Short,#NUM!,168439716.7,-74450.35478,148.9,-0.20,0,0.00,0,0.00,42835.16,428.35
208,Sortir du short,2026-02-11 09:00,Exit Short,#NUM!,142907806.5,-86887.94637,173.78,-0.20,0,0.00,0,0.00,43008.94,430.09
208,Entrer short,2026-02-11 09:00,Short,#NUM!,142907806.5,-86887.94637,173.78,-0.20,0,0.00,0,0.00,43008.94,430.09
209,Sortir du short,2026-02-11 17:00,Exit Short,#NUM!,141995193.3,-129073.6307,258.15,-0.20,0,0.00,0,0.00,43267.08,432.67
209,Entrer short,2026-02-11 17:00,Short,#NUM!,141995193.3,-129073.6307,258.15,-0.20,0,0.00,0,0.00,43267.08,432.67
210,Sortir du short,2026-02-11 21:00,Exit Short,#NUM!,134619919.5,-108638.275,217.28,-0.20,0,0.00,0,0.00,43484.36,434.84
210,Entrer short,2026-02-11 21:00,Short,#NUM!,134619919.5,-108638.275,217.28,-0.20,0,0.00,0,0.00,43484.36,434.84
211,Sortir du short,2026-02-11 23:00,Exit Short,#NUM!,123673267,-96094.12843,192.19,-0.20,0,0.00,0,0.00,43676.55,436.77
211,Entrer short,2026-02-11 23:00,Short,#NUM!,123673267,-96094.12843,192.19,-0.20,0,0.00,0,0.00,43676.55,436.77
212,Sortir du short,2026-02-12 03:00,Exit Short,#NUM!,138620287.3,-112143.8124,224.29,-0.20,0,0.00,0,0.00,43900.84,439.01
212,Entrer short,2026-02-12 03:00,Short,#NUM!,138620287.3,-112143.8124,224.29,-0.20,0,0.00,0,0.00,43900.84,439.01
213,Sortir du short,2026-02-12 13:00,Exit Short,#NUM!,159462850.1,-187528.3117,375.06,-0.20,0,0.00,0,0.00,44275.89,442.76
213,Entrer short,2026-02-12 13:00,Short,#NUM!,159462850.1,-187528.3117,375.06,-0.20,0,0.00,0,0.00,44275.89,442.76
214,Sortir du short,2026-02-12 15:00,Exit Short,#NUM!,142213787.2,-121308.3605,242.62,-0.20,0,0.00,0,0.00,44518.51,445.19
214,Entrer short,2026-02-12 15:00,Short,#NUM!,142213787.2,-121308.3605,242.62,-0.20,0,0.00,0,0.00,44518.51,445.19
215,Sortir du short,2026-02-12 17:00,Exit Short,#NUM!,162218842.6,-132857.2321,265.71,-0.20,0,0.00,0,0.00,44784.22,447.84
215,Entrer short,2026-02-12 17:00,Short,#NUM!,162218842.6,-132857.2321,265.71,-0.20,0,0.00,0,0.00,44784.22,447.84
216,Sortir du short,2026-02-12 23:00,Exit Short,#NUM!,163500829.9,-71613.36351,143.23,-0.20,0,0.00,0,0.00,44927.45,449.27
216,Entrer short,2026-02-12 23:00,Short,#NUM!,163500829.9,-71613.36351,143.23,-0.20,0,0.00,0,0.00,44927.45,449.27
