timestamp,open,high,low,close,volume
2024-09-12 20:15:00+00:00,135.82,136.2,135.68,135.86,42553.827000000005
2024-09-12 21:00:00+00:00,135.85,136.42,135.23,135.64,74887.40100000001
2024-09-12 21:45:00+00:00,135.63,136.18,135.39,136.12,29489.294
2024-09-12 22:30:00+00:00,136.12,136.72,136.0,136.07,41159.364
2024-09-12 23:15:00+00:00,136.07,136.45,136.0,136.05,26402.754
2024-09-13 00:00:00+00:00,136.06,136.14,135.51,135.87,35931.406
2024-09-13 00:45:00+00:00,135.86,136.21,134.36,134.73,81790.684
2024-09-13 01:30:00+00:00,134.74,135.32,134.39,134.46,35958.105
2024-09-13 02:15:00+00:00,134.45,134.9,134.44,134.68,16881.926
2024-09-13 03:00:00+00:00,134.68,134.96,134.44,134.56,27035.667
2024-09-13 03:45:00+00:00,134.57,134.79,134.35,134.78,18761.076
2024-09-13 04:30:00+00:00,134.78,134.79,134.14,134.56,23736.032
2024-09-13 05:15:00+00:00,134.57,134.85,134.43,134.68,18427.422
2024-09-13 06:00:00+00:00,134.68,134.7,134.01,134.15,25220.821
2024-09-13 06:45:00+00:00,134.14,134.27,133.73,134.19,67029.824
2024-09-13 07:30:00+00:00,134.18,134.67,133.77,134.49,69119.655
2024-09-13 08:15:00+00:00,134.48,134.5,133.8,133.86,35622.47
2024-09-13 09:00:00+00:00,133.86,134.4,133.76,134.07,44343.135
2024-09-13 09:45:00+00:00,134.07,134.07,133.18,133.5,66059.261
2024-09-13 10:30:00+00:00,133.5,134.35,133.44,133.82,91391.936
2024-09-13 11:15:00+00:00,133.82,133.95,132.5,132.58,91748.05900000001
2024-09-13 12:00:00+00:00,132.59,132.83,131.7,132.07,135227.106
2024-09-13 12:45:00+00:00,132.08,132.69,131.91,131.91,61609.403
2024-09-13 13:30:00+00:00,131.91,133.3,131.82,133.11,116079.135
2024-09-13 14:15:00+00:00,133.12,133.87,132.2,133.84,102450.274
2024-09-13 15:00:00+00:00,133.84,136.69,133.73,136.01,317298.906
