timestamp,open,high,low,close,volume
2024-09-12 21:00:00+00:00,135.85,136.72,135.23,136.05,171938.813
2024-09-13 00:00:00+00:00,136.06,136.21,134.36,134.68,170562.12099999998
2024-09-13 03:00:00+00:00,134.68,134.96,134.14,134.68,87960.197
2024-09-13 06:00:00+00:00,134.68,134.7,133.73,133.86,196992.77
2024-09-13 09:00:00+00:00,133.86,134.4,132.5,132.58,293542.391
2024-09-13 12:00:00+00:00,132.59,133.87,131.7,133.84,415365.918
2024-09-13 15:00:00+00:00,133.84,137.6,133.73,136.69,836242.524
2024-09-13 18:00:00+00:00,136.69,138.84,136.54,138.19,367821.716
2024-09-13 21:00:00+00:00,138.2,139.8,138.19,139.02,346044.38800000004
2024-09-14 00:00:00+00:00,139.02,139.62,138.49,138.94,199432.773
2024-09-14 03:00:00+00:00,138.94,139.8,137.86,137.98,170962.166
2024-09-14 06:00:00+00:00,137.98,138.3,136.64,136.99,248671.075
2024-09-14 09:00:00+00:00,137.0,137.51,136.51,136.79,182520.63
2024-09-14 12:00:00+00:00,136.8,138.16,136.57,137.87,180115.96899999998
2024-09-14 15:00:00+00:00,137.88,137.91,136.85,136.93,112735.929
2024-09-14 18:00:00+00:00,136.93,137.3,135.6,137.02,232784.593
2024-09-14 21:00:00+00:00,137.01,137.35,136.8,137.14,69610.163
2024-09-15 00:00:00+00:00,137.15,137.95,137.06,137.73,100716.692
2024-09-15 03:00:00+00:00,137.74,137.83,136.82,137.09,108828.063
2024-09-15 06:00:00+00:00,137.09,137.47,136.6,136.75,88447.915
2024-09-15 09:00:00+00:00,136.75,136.87,135.12,135.61,198312.08
2024-09-15 12:00:00+00:00,135.6,136.4,134.63,135.77,274264.95999999996
2024-09-15 15:00:00+00:00,135.76,135.97,132.93,133.37,449653.35199999996
2024-09-15 18:00:00+00:00,133.37,134.4,132.81,133.14,258108.989
2024-09-15 21:00:00+00:00,133.15,133.15,130.43,131.37,372124.689
2024-09-16 00:00:00+00:00,131.38,131.85,129.25,129.67,385454.718
2024-09-16 03:00:00+00:00,129.68,131.36,129.57,131.29,193978.696
2024-09-16 06:00:00+00:00,131.29,132.4,130.4,131.71,179836.579
2024-09-16 09:00:00+00:00,131.71,132.3,130.69,131.89,199362.105
2024-09-16 12:00:00+00:00,131.88,132.38,129.96,130.4,317660.351
2024-09-16 15:00:00+00:00,130.4,131.97,128.91,131.46,473590.665
2024-09-16 18:00:00+00:00,131.45,131.59,130.0,130.12,228203.029
2024-09-16 21:00:00+00:00,130.13,131.92,129.95,131.47,158302.162
2024-09-17 00:00:00+00:00,131.47,131.96,130.12,130.8,173828.806
2024-09-17 03:00:00+00:00,130.8,132.85,130.72,132.57,166986.561
2024-09-17 06:00:00+00:00,132.58,132.8,131.87,132.46,140549.186
2024-09-17 09:00:00+00:00,132.46,133.35,131.75,131.95,273779.944
2024-09-17 12:00:00+00:00,131.96,134.9,130.91,133.51,486738.47500000003
2024-09-17 15:00:00+00:00,133.52,135.55,132.0,133.15,680422.001
2024-09-17 18:00:00+00:00,133.14,133.48,131.0,131.97,298933.564
2024-09-17 21:00:00+00:00,131.97,132.72,131.2,131.54,118607.37400000001
2024-09-18 00:00:00+00:00,131.54,131.7,130.22,131.7,185867.854
2024-09-18 03:00:00+00:00,131.69,132.15,130.6,130.97,211883.40300000002
2024-09-18 06:00:00+00:00,130.97,131.53,130.6,130.77,155672.783
2024-09-18 09:00:00+00:00,130.77,130.82,128.08,129.42,405790.362
2024-09-18 12:00:00+00:00,129.41,130.35,127.74,128.03,362583.032
2024-09-18 15:00:00+00:00,128.02,129.76,127.07,129.2,493768.151
2024-09-18 18:00:00+00:00,129.2,133.08,128.47,130.78,1174979.09
2024-09-18 21:00:00+00:00,130.78,134.45,130.58,134.34,319242.583
2024-09-19 00:00:00+00:00,134.34,137.31,134.27,137.18,705636.3150000001
2024-09-19 03:00:00+00:00,137.18,139.11,137.18,138.34,623073.451
2024-09-19 06:00:00+00:00,138.33,138.99,137.6,138.44,313422.695
2024-09-19 09:00:00+00:00,138.43,139.63,138.27,139.48,343942.165
2024-09-19 12:00:00+00:00,139.47,141.96,139.43,140.86,745751.344
2024-09-19 15:00:00+00:00,140.86,143.95,140.71,143.14,632194.052
2024-09-19 18:00:00+00:00,143.13,144.04,142.94,143.65,322662.853
2024-09-19 21:00:00+00:00,143.65,143.73,140.9,142.89,443752.475
2024-09-20 00:00:00+00:00,142.88,143.41,141.18,142.47,284396.493
2024-09-20 03:00:00+00:00,142.47,149.62,142.34,148.42,838903.619
2024-09-20 06:00:00+00:00,148.41,152.5,147.78,150.8,953705.726
2024-09-20 09:00:00+00:00,150.79,151.75,150.12,150.58,366818.35
2024-09-20 12:00:00+00:00,150.57,151.15,145.92,147.8,981478.697
2024-09-20 15:00:00+00:00,147.81,148.78,145.67,145.85,450218.75399999996
2024-09-20 18:00:00+00:00,145.84,147.35,144.81,146.64,382043.973
2024-09-20 21:00:00+00:00,146.64,147.98,146.14,146.66,230535.003
2024-09-21 00:00:00+00:00,146.67,148.0,144.95,145.57,314863.391
2024-09-21 03:00:00+00:00,145.58,146.6,144.61,145.93,214598.978
2024-09-21 06:00:00+00:00,145.93,147.93,145.72,147.09,216082.002
2024-09-21 09:00:00+00:00,147.09,147.72,146.44,147.21,147035.037
2024-09-21 12:00:00+00:00,147.2,150.25,146.71,149.03,349109.674
2024-09-21 15:00:00+00:00,149.04,149.07,147.17,148.09,196111.87300000002
2024-09-21 18:00:00+00:00,148.1,148.79,147.21,147.59,298230.463
2024-09-21 21:00:00+00:00,147.59,149.89,147.37,149.41,180701.798
2024-09-22 00:00:00+00:00,149.42,149.92,147.12,147.67,224312.424
2024-09-22 03:00:00+00:00,147.67,148.98,147.16,147.23,139873.687
2024-09-22 06:00:00+00:00,147.23,147.58,146.37,147.31,179427.00900000002
2024-09-22 09:00:00+00:00,147.31,147.32,144.12,144.87,362927.33400000003
2024-09-22 12:00:00+00:00,144.86,145.18,142.63,143.35,293351.005
2024-09-22 15:00:00+00:00,143.35,145.45,142.41,145.03,272153.499
2024-09-22 18:00:00+00:00,145.03,145.2,143.23,144.44,170993.488
2024-09-22 21:00:00+00:00,144.45,145.78,141.12,144.63,522924.442
2024-09-23 00:00:00+00:00,144.64,147.5,142.13,146.74,479579.711
2024-09-23 03:00:00+00:00,146.75,149.07,146.09,146.69,461678.82499999995
2024-09-23 06:00:00+00:00,146.69,147.36,143.41,143.72,396548.537
2024-09-23 09:00:00+00:00,143.71,145.05,143.07,143.57,398072.031
2024-09-23 12:00:00+00:00,143.56,145.5,142.59,143.75,562080.646
2024-09-23 15:00:00+00:00,143.74,145.03,142.73,143.51,399245.58
2024-09-23 18:00:00+00:00,143.5,144.32,143.06,143.39,224068.403
2024-09-23 21:00:00+00:00,143.4,145.2,142.42,144.79,305100.04000000004
2024-09-24 00:00:00+00:00,144.79,146.76,143.09,146.66,483100.51300000004
2024-09-24 03:00:00+00:00,146.66,146.91,145.35,146.24,331010.164
2024-09-24 06:00:00+00:00,146.23,148.76,145.77,148.3,429361.77
2024-09-24 09:00:00+00:00,148.3,148.51,145.95,146.46,306772.61199999996
2024-09-24 12:00:00+00:00,146.46,148.53,144.16,145.74,747018.1950000001
2024-09-24 15:00:00+00:00,145.74,148.47,144.94,147.39,528483.55
2024-09-24 18:00:00+00:00,147.39,149.43,146.53,148.45,464241.627
2024-09-24 21:00:00+00:00,148.44,154.0,148.09,152.73,725514.5
2024-09-25 00:00:00+00:00,152.74,153.93,151.52,151.6,575156.61
2024-09-25 03:00:00+00:00,151.61,152.47,149.94,150.29,326706.508
2024-09-25 06:00:00+00:00,150.28,150.53,148.97,150.33,329083.892
2024-09-25 09:00:00+00:00,150.32,151.01,149.43,150.98,250736.033
2024-09-25 12:00:00+00:00,150.98,151.95,149.71,151.8,273314.732
2024-09-25 15:00:00+00:00,151.8,153.0,148.84,149.45,516408.306
2024-09-25 18:00:00+00:00,149.46,151.2,149.28,150.36,211427.91999999998
2024-09-25 21:00:00+00:00,150.36,150.42,147.28,147.98,245419.345
2024-09-26 00:00:00+00:00,147.97,149.33,146.57,149.26,340472.289
2024-09-26 03:00:00+00:00,149.26,150.31,148.7,150.02,261600.517
2024-09-26 06:00:00+00:00,150.02,152.0,149.89,150.94,337549.32899999997
2024-09-26 09:00:00+00:00,150.94,153.18,150.46,152.91,501035.397
2024-09-26 12:00:00+00:00,152.92,155.8,151.09,153.36,933908.019
2024-09-26 15:00:00+00:00,153.37,158.05,152.83,155.56,1242907.275
2024-09-26 18:00:00+00:00,155.56,156.79,154.39,154.58,342591.41000000003
2024-09-26 21:00:00+00:00,154.59,156.41,153.85,155.55,291156.527
2024-09-27 00:00:00+00:00,155.54,156.42,153.89,154.26,329604.228
2024-09-27 03:00:00+00:00,154.26,157.48,153.98,157.31,317183.655
2024-09-27 06:00:00+00:00,157.32,159.0,156.86,158.29,603781.757
2024-09-27 09:00:00+00:00,158.28,159.23,155.73,156.08,397998.43000000005
2024-09-27 12:00:00+00:00,156.07,160.98,155.21,159.92,976650.284
2024-09-27 15:00:00+00:00,159.92,161.43,157.02,157.88,763762.5430000001
2024-09-27 18:00:00+00:00,157.87,158.76,157.1,157.98,218680.936
2024-09-27 21:00:00+00:00,157.97,158.32,157.41,157.64,117999.16500000001
2024-09-28 00:00:00+00:00,157.63,159.43,157.59,158.62,191854.511
2024-09-28 03:00:00+00:00,158.62,159.17,157.6,157.63,167747.575
2024-09-28 06:00:00+00:00,157.64,157.83,155.27,155.39,375465.95999999996
2024-09-28 09:00:00+00:00,155.38,157.58,155.0,157.17,290897.815
2024-09-28 12:00:00+00:00,157.18,158.01,156.2,157.95,227511.34
2024-09-28 15:00:00+00:00,157.94,157.98,156.41,156.78,155360.941
2024-09-28 18:00:00+00:00,156.78,157.25,156.43,156.51,67043.208
2024-09-28 21:00:00+00:00,156.52,156.95,155.63,156.75,104952.991
2024-09-29 00:00:00+00:00,156.75,158.53,156.23,157.67,242410.097
2024-09-29 03:00:00+00:00,157.68,158.2,156.21,156.22,306710.467
