timestamp,open,high,low,close,volume
2024-09-12 21:30:00+00:00,2344.39,2358.79,2344.13,2349.16,5973.4537
2024-09-12 22:00:00+00:00,2349.16,2357.08,2348.96,2354.51,1517.4179
2024-09-12 22:30:00+00:00,2354.52,2373.64,2353.85,2360.99,4638.1008
2024-09-12 23:00:00+00:00,2360.99,2366.54,2357.63,2359.89,2199.3949
2024-09-12 23:30:00+00:00,2359.9,2365.67,2359.9,2361.76,2160.9254
2024-09-13 00:00:00+00:00,2361.75,2363.66,2357.4,2358.86,1480.2393
2024-09-13 00:30:00+00:00,2358.86,2363.94,2357.0,2357.41,1585.1886
2024-09-13 01:00:00+00:00,2357.41,2359.25,2350.27,2356.39,1708.6984
2024-09-13 01:30:00+00:00,2356.39,2364.56,2354.0,2358.79,1865.3911
2024-09-13 02:00:00+00:00,2358.79,2360.51,2353.51,2355.78,1818.8894
2024-09-13 02:30:00+00:00,2355.78,2358.49,2354.4,2356.24,1123.1892
2024-09-13 03:00:00+00:00,2356.23,2359.83,2355.61,2359.02,1966.9449
2024-09-13 03:30:00+00:00,2359.03,2360.79,2355.8,2356.04,2065.1814
2024-09-13 04:00:00+00:00,2356.04,2359.2,2355.24,2358.8,1705.7556
2024-09-13 04:30:00+00:00,2358.79,2358.94,2348.0,2348.01,2952.6326
2024-09-13 05:00:00+00:00,2348.01,2352.17,2346.31,2347.8,2309.7054
2024-09-13 05:30:00+00:00,2347.79,2352.18,2345.13,2348.86,2074.3605
2024-09-13 06:00:00+00:00,2348.86,2349.48,2344.08,2344.21,1706.8351
2024-09-13 06:30:00+00:00,2344.21,2345.6,2337.5,2337.81,2431.8089
2024-09-13 07:00:00+00:00,2337.81,2346.47,2337.35,2346.38,2397.9184
2024-09-13 07:30:00+00:00,2346.38,2349.71,2341.58,2348.88,2326.2578
2024-09-13 08:00:00+00:00,2348.87,2350.65,2345.26,2347.95,1724.7742
2024-09-13 08:30:00+00:00,2347.96,2348.12,2342.85,2342.85,1685.4969
2024-09-13 09:00:00+00:00,2342.85,2358.0,2341.66,2352.83,3763.877
2024-09-13 09:30:00+00:00,2352.82,2355.15,2350.56,2352.2,1646.8101
2024-09-13 10:00:00+00:00,2352.21,2357.89,2351.4,2357.59,1968.8863
2024-09-13 10:30:00+00:00,2357.58,2371.39,2357.58,2371.39,4676.3802
2024-09-13 11:00:00+00:00,2371.38,2376.22,2365.26,2367.0,5992.2191
2024-09-13 11:30:00+00:00,2366.99,2367.18,2350.8,2354.35,5738.4603
